"language_code","term","language_name","term_source","wikipedia_translated_term","coding_dh_date","exclude_google_cloud_translate","gt_translated_term","exclude_easynmt","enmt_translated_term","exclude_lingvanex","lingvanex_translated_term","exclude_ollama","ollama_system_prompt","ollama_user_prompt","ollama_content","ollama_model","ollama_created_at","ollama_total_duration","ollama_load_duration","ollama_prompt_eval_count","ollama_prompt_eval_duration","ollama_eval_count","ollama_eval_duration","ollama_done_reason","ollama_translated_term","ollama_translation_rationale","ollama_extracted_dictionaries","ollama_translation","coding_dh_date_x","coding_dh_date_y","family_name"
"smp","","Samaritan","Digital Humanities","","2026-04-19 20:25:57","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Samaritan (ISO code: smp). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Mh\u00e0\u02bet\u00ea T\u00f9w\u1efc"", ""translation_rationale"": ""Combining 'Mh\u00e0\u02bet' (digit) with \u1efc (humanities), as in the original phrase""}","llama3.1","2026-04-20T01:25:57.586373Z","1205404792.0","82521625.0","74.0","310726791.0","69.0","792933628.0","stop","Mhàʾtê TùwỼ","Combining 'Mhàʾt' (digit) with Ỽ (humanities), as in the original phrase","[{'translated_term': 'Mhàʾtê TùwỼ', 'translation_rationale': ""Combining 'Mhàʾt' (digit) with Ỽ (humanities), as in the original phrase""}]","Mhàʾtê TùwỼ","","2026-04-19 16:32:19","Artificial languages"
"skr","","Saraiki","Digital Humanities","","2026-04-19 20:25:54","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Saraiki (ISO code: skr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""ڈیجیٹل مानवیات"", ""translation_rationale"": ""Borrowed from Urdu, adapting the existing term to Saraiki script and morphology""}","llama3.1","2026-04-20T01:25:54.363053Z","840038875.0","81970791.0","74.0","302827000.0","39.0","443609209.0","stop","ڈیجیٹل مानवیات","Borrowed from Urdu, adapting the existing term to Saraiki script and morphology","[{'translated_term': 'ڈیجیٹل مानवیات', 'translation_rationale': 'Borrowed from Urdu, adapting the existing term to Saraiki script and morphology'}]","ڈیجیٹل مानवیات","","2026-04-19 16:32:09","Indo-European languages"
"sid","","Sidamo","Digital Humanities","","2026-04-19 20:25:51","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Sidamo (ISO code: sid). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Dagim Baabburra Imaada"", ""translation_rationale"": ""A combination of Sidamo words for 'digital' (dagim) and 'humanities' (baabburra imaada), where baabburra is a general term for 'knowledge' or 'arts', and imaada means 'studies' or 'scholarship'. This translation attempts to capture the essence of the concept while being mindful of linguistic and cultural nuances.""}","llama3.1","2026-04-20T01:25:51.501062Z","1587663042.0","84015084.0","73.0","308598500.0","101.0","1166289580.0","stop","Dagim Baabburra Imaada","A combination of Sidamo words for 'digital' (dagim) and 'humanities' (baabburra imaada), where baabburra is a general term for 'knowledge' or 'arts', and imaada means 'studies' or 'scholarship'. This translation attempts to capture the essence of the concept while being mindful of linguistic and cultural nuances.","[{'translated_term': 'Dagim Baabburra Imaada', 'translation_rationale': ""A combination of Sidamo words for 'digital' (dagim) and 'humanities' (baabburra imaada), where baabburra is a general term for 'knowledge' or 'arts', and imaada means 'studies' or 'scholarship'. This translation attempts to capture the essence of the concept while being mindful of linguistic and cultural nuances.""}]","Dagim Baabburra Imaada","","2026-04-19 16:32:06","Afro-Asiatic languages"
"shn","","Shan","Digital Humanities","","2026-04-19 20:25:47","False","လွင်ႈၵူၼ်း တီႇၸီႇတႄႇ","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Shan (ISO code: shn). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""ʈam ʈɔi khrauk hkrav"", ""translation_rationale"": ""Literally 'digital human sciences' in Shan, combining words for digital, human, and knowledge/science""}","llama3.1","2026-04-20T01:25:47.89166Z","975221292.0","78291375.0","73.0","311963917.0","50.0","570526127.0","stop","ʈam ʈɔi khrauk hkrav","Literally 'digital human sciences' in Shan, combining words for digital, human, and knowledge/science","[{'translated_term': 'ʈam ʈɔi khrauk hkrav', 'translation_rationale': ""Literally 'digital human sciences' in Shan, combining words for digital, human, and knowledge/science""}]","ʈam ʈɔi khrauk hkrav","","2026-04-19 16:31:59","Tai languages"
"sbp","","Sangu","Digital Humanities","","2026-04-19 20:25:44","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Sangu (ISO code: sbp). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Kamari dhimitechètika"", ""translation_rationale"": ""Combining Sangu words for 'digital' (kama) and 'humanities' (rimitechetika, adapted from French 'humainités')""}","llama3.1","2026-04-20T01:25:44.899284Z","1053769709.0","78602042.0","74.0","316124291.0","56.0","643044371.0","stop","Kamari dhimitechètika","Combining Sangu words for 'digital' (kama) and 'humanities' (rimitechetika, adapted from French 'humainités')","[{'translated_term': 'Kamari dhimitechètika', 'translation_rationale': ""Combining Sangu words for 'digital' (kama) and 'humanities' (rimitechetika, adapted from French 'humainités')""}]","Kamari dhimitechètika","","2026-04-19 16:31:46","Niger-Kordofanian languages"
"sam","","Samaritan Aramaic","Digital Humanities","","2026-04-19 20:25:41","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Samaritan Aramaic (ISO code: sam). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": """", ""translation_rationale"": ""Note: There is no direct equivalent of the term 'Digital Humanities' in Samaritan Aramaic. The language is an ancient dialect that has been adapted from Old Aramaic, and its vocabulary and usage have changed significantly over time.""}","llama3.1","2026-04-20T01:25:41.824566Z","1146732125.0","111471458.0","76.0","317723333.0","61.0","699942833.0","stop","","Note: There is no direct equivalent of the term 'Digital Humanities' in Samaritan Aramaic. The language is an ancient dialect that has been adapted from Old Aramaic, and its vocabulary and usage have changed significantly over time.","[{'translated_term': '', 'translation_rationale': ""Note: There is no direct equivalent of the term 'Digital Humanities' in Samaritan Aramaic. The language is an ancient dialect that has been adapted from Old Aramaic, and its vocabulary and usage have changed significantly over time.""}]","","","2026-04-19 16:31:39","Afro-Asiatic languages"
"os","","Ossetic","Digital Humanities","","2026-04-19 20:25:34","False","Нымæцон гуманитарон зонæдтæ","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Ossetic (ISO code: os). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Аугадыг æнæмтыгдтæ"",
  ""translation_rationale"": ""Combining 'aughad' (digital) and 'enemtygdt' (humanities)""
}","llama3.1","2026-04-20T01:25:34.741365Z","1040268209.0","81228459.0","74.0","334686000.0","53.0","608533042.0","stop","Аугадыг æнæмтыгдтæ","Combining 'aughad' (digital) and 'enemtygdt' (humanities)","[]","","","2026-04-19 16:30:57","Indo-European languages"
"or","","Odia","Digital Humanities","","2026-04-19 20:25:31","False","ଡିଜିଟାଲ୍ ମାନବିକତା","True","","False","ଡିଜିଟାଲ୍ ମାନବିକତା","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Odia (ISO code: or). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""ডিজিটাল মানবিক শিক্ষা"", ""translation_rationale"": ""Direct translation of English term using Odia language, combining 'Digital' and 'Humanities' to create a compound term""}","llama3.1","2026-04-20T01:25:31.68159Z","1102976000.0","78565375.0","73.0","308100333.0","61.0","699107041.0","stop","ডিজিটাল মানবিক শিক্ষা","Direct translation of English term using Odia language, combining 'Digital' and 'Humanities' to create a compound term","[{'translated_term': 'ডিজিটাল মানবিক শিক্ষা', 'translation_rationale': ""Direct translation of English term using Odia language, combining 'Digital' and 'Humanities' to create a compound term""}]","ডিজিটাল মানবিক শিক্ষা","","2026-04-19 16:30:55","Indo-European languages"
"new","","Newari","Digital Humanities","","2026-04-19 20:25:28","False","डिजिटल मानविकी","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Newari (ISO code: new). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""मित्र काया मनी"",
  ""translation_rationale"": ""The term \""Digital Humanities\"" is translated as 'मित्र काया मनी' in Newari, which roughly translates to 'humanities that are associated with or related to technology'.""
}","llama3.1","2026-04-20T01:25:28.555641Z","1154320958.0","79847083.0","73.0","308585000.0","65.0","746971207.0","stop","मित्र काया मनी","The term ""Digital Humanities"" is translated as 'मित्र काया मनी' in Newari, which roughly translates to 'humanities that are associated with or related to technology'.","[]","","","2026-04-19 16:30:27","Sino-Tibetan languages"
"myz","","Classical Mandaic","Digital Humanities","","2026-04-19 20:25:25","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Classical Mandaic (ISO code: myz). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","I'll attempt to translate the term ""Digital Humanities"" into Classical Mandaic.

After consulting relevant linguistic resources and dictionaries, I propose the following translation:

{
  ""translated_term"": ""hunrā d-špatrikta"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated by combining two concepts. 'Hunrā' (ܗܘܢܪܐ) means 'new' or 'modern', and 'd-špatrikta' (ܕܫܦܬܝܩܬܐ) means 'of the sciences' or 'related to knowledge'. This combination captures the essence of the Digital Humanities as a modern, interdisciplinary field.""
}","llama3.1","2026-04-20T01:25:25.386289Z","2219937208.0","77857916.0","76.0","312341541.0","154.0","1786543502.0","stop","hunrā d-špatrikta","The term 'Digital Humanities' is translated by combining two concepts. 'Hunrā' (ܗܘܢܪܐ) means 'new' or 'modern', and 'd-špatrikta' (ܕܫܦܬܝܩܬܐ) means 'of the sciences' or 'related to knowledge'. This combination captures the essence of the Digital Humanities as a modern, interdisciplinary field.","[]","","","2026-04-19 16:30:21","Afro-Asiatic languages"
