language_code,term,language_name,term_source,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation,exclude_openai,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_claude,claude_translated_term,claude_translation_rationale,claude_model,claude_stop_reason,claude_created,claude_total_tokens,claude_input_tokens,claude_output_tokens
pdc,,Pennsylvania German,Digital Humanities,,2026-04-07 01:13:19,False,,False,,False,,False,"{""translated_term"": ""Digitale Menschliche Künste"", ""translation_rationale"": ""Combining English words, following Pennsylvania German's tendency to adopt foreign vocabulary directly, with slight adjustments in spelling and inflection.""}",llama3.1,2026-04-07T00:03:37.96976Z,1002933959.0,82208375.0,74.0,368811833.0,47.0,537366622.0,stop,Digitale Menschliche Künste,"Combining English words, following Pennsylvania German's tendency to adopt foreign vocabulary directly, with slight adjustments in spelling and inflection.","[{'translated_term': 'Digitale Menschliche Künste', 'translation_rationale': ""Combining English words, following Pennsylvania German's tendency to adopt foreign vocabulary directly, with slight adjustments in spelling and inflection.""}]",Digitale Menschliche Künste,False,Digitaal Gelehrsamkeit,67.0,1775520458.0,stop,gpt-4o-2024-08-06,70.0,137.0,"The term 'Digital Humanities' combines digital technology with the study of human culture. 'Digitaal' refers to the digital aspect, and 'Gelehrsamkeit' relates to scholarship or humanities in Pennsylvania German.",,False,Digitaali Gschtudierschtuff,"Combines 'digitaali' (digital, from German/English influence) with 'Gschtudierschtuff' (scholarly matters/studies), following Pennsylvania German phonology and vocabulary patterns that blend German roots with local development.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:19.777902,155.0,74.0,81.0
pap,,Papiamentu,Digital Humanities,,2026-04-07 01:13:15,False,Humanidatnan Digital,False,Di Con Asina Tantu Cos Humano,False,,False,"{
  ""translated_term"": ""Humanidat Digital"",
  ""translation_rationale"": ""Papiamentu term for 'Digital Humanities', combining the concepts of 'digital' and 'humanidades'""
}",llama3.1,2026-04-07T00:03:34.948832Z,935018750.0,81645792.0,75.0,352158250.0,43.0,487843087.0,stop,Humanidat Digital,"Papiamentu term for 'Digital Humanities', combining the concepts of 'digital' and 'humanidades'",[],,False,Humanidades Digital,73.0,1775520455.0,stop,gpt-4o-2024-08-06,70.0,143.0,"In Papiamentu, technical terms from fields like 'Digital Humanities' are often borrowed from more widely spoken languages such as Spanish or Portuguese. 'Humanidades' correlates to 'Humanities', and 'Digital' remains the same given the comfort with English terms.",,False,Humanidadnan Digital,"Direct translation maintaining the concept of humanities in plural form (Humanidadnan) with the adjective Digital, following Papiamentu grammatical structure where adjectives typically follow nouns.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:15.081715,141.0,77.0,64.0
pam,,Kapampangan,Digital Humanities,,2026-04-07 01:13:11,False,Digital Humanities,False,,False,,False,"{
  ""translated_term"": ""Diyitangalungsodang Sining"",
  ""translation_rationale"": ""Breaking down the term into its components, 'Diye' is a prefix meaning digital or related to technology, 'tangalunghod' means humanities in Kapampangan, and 'Sining' means art or studies.""
}",llama3.1,2026-04-07T00:03:31.989604Z,1305141083.0,82038250.0,74.0,348298250.0,74.0,853382040.0,stop,Diyitangalungsodang Sining,"Breaking down the term into its components, 'Diye' is a prefix meaning digital or related to technology, 'tangalunghod' means humanities in Kapampangan, and 'Sining' means art or studies.",[],,False,Humanidades Digital,48.0,1775520453.0,stop,gpt-4o-2024-08-06,70.0,118.0,"In Kapampangan, 'Humanidades' refers to 'Humanities', and 'Digital' is often borrowed directly as 'Digital'.",,False,Digital a Pakaratang Tau,"Direct translation where 'Digital' is borrowed as is (common in Kapampangan for modern tech terms), 'Pakaratang' means 'knowledge/learning/scholarship', and 'Tau' means 'human/people', forming 'Digital Knowledge of Humanity' which captures the essence of Digital Humanities.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:11.691123,175.0,76.0,99.0
pag,,Pangasinan,Digital Humanities,,2026-04-07 01:13:06,False,Digital Humanities,False,Saray Manangiyabawag na Too,False,,False,"{""translated_term"": ""Salukuyug Alpabita"", ""translation_rationale"": ""Combination of 'salukuyug' (digital) and 'alpabita' (humanities), following the pattern of other terms in Pangasinan""}",llama3.1,2026-04-07T00:03:28.668528Z,1083163208.0,84638833.0,74.0,351900500.0,55.0,629553210.0,stop,Salukuyug Alpabita,"Combination of 'salukuyug' (digital) and 'alpabita' (humanities), following the pattern of other terms in Pangasinan","[{'translated_term': 'Salukuyug Alpabita', 'translation_rationale': ""Combination of 'salukuyug' (digital) and 'alpabita' (humanities), following the pattern of other terms in Pangasinan""}]",Salukuyug Alpabita,False,Humanidades na Digital,75.0,1775520451.0,stop,gpt-4o-2024-08-06,70.0,145.0,"In Pangasinan, 'humanidades' refers to 'humanities' and 'digital' is adopted from English, indicating the integration of digital technology with humanities disciplines. The term captures the essence of merging technology with the study of human culture and activities.",,False,Digital ya Kabiasnan na Tao,"Direct translation where 'Digital' remains as a loanword (commonly used in Pangasinan for technology terms), 'ya' is the linker, and 'Kabiasnan na Tao' translates to 'Humanities' (literally 'human knowledge/culture')",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:06.529796,171.0,77.0,94.0
nso,,Northern Sotho,Digital Humanities,,2026-04-07 01:13:01,False,Thuto ya Botho ya Dijithale,False,Ditekanyo tša Batho,False,,False,"{
  ""translated_term"": ""Tsheko ya Digital"",
  ""translation_rationale"": ""Combining the concept of tsheko (technology) with 'digital' from English""
}",llama3.1,2026-04-07T00:03:25.561402Z,884077375.0,82481625.0,76.0,332555000.0,40.0,456686791.0,stop,Tsheko ya Digital,Combining the concept of tsheko (technology) with 'digital' from English,[],,False,Dijithale tša Bongaka,65.0,1775520448.0,stop,gpt-4o-2024-08-06,70.0,135.0,"The term is translated directly by combining 'Dijithale' meaning 'Digital' and 'Bongaka' meaning 'Humanities', reflecting the interdisciplinarity of digital technology and humanistic study.",,False,Dithuto tsa Ditšitale,Direct translation where 'Dithuto' means 'studies/humanities' and 'ditšitale' is the accepted Northern Sotho term for 'digital'. This follows standard Northern Sotho grammatical structure for compound academic terms.,claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:01.819692,158.0,76.0,82.0
nrm,,Norman,Digital Humanities,,2026-04-07 01:12:57,False,,False,,False,,False,"{""translated_term"": ""Tchèques Humaines Digitales"", ""translation_rationale"": ""Combination of the Norman word for 'digital' (tchèque) and 'humanities'""}",llama3.1,2026-04-07T00:03:22.659523Z,986519625.0,91593625.0,73.0,391614208.0,43.0,489839623.0,stop,Tchèques Humaines Digitales,Combination of the Norman word for 'digital' (tchèque) and 'humanities',"[{'translated_term': 'Tchèques Humaines Digitales', 'translation_rationale': ""Combination of the Norman word for 'digital' (tchèque) and 'humanities'""}]",Tchèques Humaines Digitales,False,Humanités Numériques,50.0,1775520446.0,stop,gpt-4o-2024-08-06,69.0,119.0,"Norman closely resembles French due to historical connections, and 'Humanités Numériques' follows the pattern of translation similar to French.",,False,Humanités Numériques,"Norman, as a Romance language closely related to French, uses the French term 'Humanités Numériques' which is the established translation for Digital Humanities in francophone academic contexts.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:12:57.588568,139.0,74.0,65.0
new,,Newar,Digital Humanities,,2026-04-07 01:12:54,False,डिजिटल मानविकी,False,,False,,False,"{""translated_term"": ""दिजिटल मानव विज्ञान"", ""translation_rationale"": ""Combination of नि (ni) meaning 'digital' and मानव विज्ञान (manav vijñāna) meaning 'human knowledge', drawing on Sanskrit roots""}",llama3.1,2026-04-07T00:03:19.657325Z,1190644042.0,88335334.0,73.0,370908708.0,62.0,713204999.0,stop,दिजिटल मानव विज्ञान,"Combination of नि (ni) meaning 'digital' and मानव विज्ञान (manav vijñāna) meaning 'human knowledge', drawing on Sanskrit roots","[{'translated_term': 'दिजिटल मानव विज्ञान', 'translation_rationale': ""Combination of नि (ni) meaning 'digital' and मानव विज्ञान (manav vijñāna) meaning 'human knowledge', drawing on Sanskrit roots""}]",दिजिटल मानव विज्ञान,False,डिजिटल मानविकी,101.0,1775520444.0,stop,gpt-4o-2024-08-06,69.0,170.0,"The term 'Digital Humanities' combines 'Digital', referring to technology or digital tools, with 'Humanities', the study of human culture. In Newar language, 'डिजिटल' is a phonetic transcription for 'digital', and 'मानविकी' is used for 'humanities', aligning with terms used in other languages to represent the academic study of culture with a technological aspect.",,False,डिजिटल मानविकी,"Direct translation using Devanagari script used for Newar language, combining 'डिजिटल' (digital, borrowed term) and 'मानविकी' (humanities, from Sanskrit मानव meaning human)",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:12:54.180134,155.0,74.0,81.0
nds-nl,,Dutch Low Saxon,Digital Humanities,,2026-04-07 01:12:50,False,,False,,False,,False,"{
""translated_term"": ""Digitaal Humaanweten"",
""translation_rationale"": ""Combination of 'digitaal' (digital) and 'humaanweten' which translates to human sciences in Dutch, aligning with the broader scope of Digital Humanities""
}",llama3.1,2026-04-07T00:03:16.446944Z,1140602417.0,81096167.0,78.0,356526917.0,60.0,685926544.0,stop,Digitaal Humaanweten,"Combination of 'digitaal' (digital) and 'humaanweten' which translates to human sciences in Dutch, aligning with the broader scope of Digital Humanities",[],,False,Digitale Humaniora,73.0,1775520441.0,stop,gpt-4o-2024-08-06,74.0,147.0,"The term 'Digital Humanities' translates to 'Digitale Humaniora' in Dutch, and Dutch Low Saxon often borrows directly from Dutch for modern and academic concepts to maintain mutual intelligibility and due to the influence of the Dutch standard language.",,False,Digitale Geisteswetenschappen,"Dutch Low Saxon typically borrows academic terminology from standard Dutch/German. 'Digitale' is recognizable in Low Saxon, and 'Geisteswetenschappen' (humanities) follows the German-influenced academic register common in the region.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:12:50.235085,160.0,77.0,83.0
nds,,Low German / Low Saxon,Digital Humanities,,2026-04-07 01:12:45,False,,False,,False,,False,"{
  ""translated_term"": ""Digitale Humanisten"",
  ""translation_rationale"": ""Low German / Low Saxon translation, combining 'digital' (from English) and 'Humanitists' (from English, using the plural form)""
}",llama3.1,2026-04-07T00:03:13.285944Z,1046113209.0,81051625.0,79.0,355173167.0,52.0,594168998.0,stop,Digitale Humanisten,"Low German / Low Saxon translation, combining 'digital' (from English) and 'Humanitists' (from English, using the plural form)",[],,False,Digitale Geesteswetenschappen,64.0,1775520438.0,stop,gpt-4o-2024-08-06,75.0,139.0,"The term 'Geesteswetenschappen' is commonly used in Low German to refer to humanities, while 'Digitale' is a direct translation of 'Digital', matching the concept of 'Digital Humanities'.",,False,Digitale Geisteswetenschappen,"Low German borrows from German for academic terminology. 'Digital' remains 'Digitale' and 'Humanities' translates to 'Geisteswetenschappen' (sciences of the mind/spirit), following the German academic convention commonly used in Low German scholarly contexts.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:12:45.761854,168.0,77.0,91.0
nap,,Neapolitan,Digital Humanities,,2026-04-07 01:12:41,False,,False,,False,,False,"{
  ""translated_term"": ""Dumannità Digitale"",
  ""translation_rationale"": ""Combination of Italian and Neapolitan language""
}",llama3.1,2026-04-07T00:03:10.216594Z,797855625.0,65468667.0,74.0,360027084.0,32.0,361979169.0,stop,Dumannità Digitale,Combination of Italian and Neapolitan language,[],,False,Umanistiche Digitali,56.0,1775520436.0,stop,gpt-4o-2024-08-06,70.0,126.0,"In Neapolitan, 'Digital' translates to 'Digitali' and 'Humanities' to 'Umanistiche', capturing the essence of technological and scholarly integration.",,False,Scienze Diggetale Umanistiche,"Neapolitan adaptation combining 'Scienze' (sciences/studies), 'Diggetale' (digital, from English with Neapolitan phonetics), and 'Umanistiche' (humanities), following the word order and grammatical patterns of Neapolitan while maintaining comprehensibility for this modern academic concept.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:12:41.703633,183.0,77.0,106.0
nah,,Nahuatl,Digital Humanities,,2026-04-07 01:12:36,False,,False,,False,,False,"{
  ""translated_term"": ""Tonalpohualli tlamachyotl"",
  ""translation_rationale"": ""The term 'Digital Humanities' is composed of two parts. 'Digital' is derived from the Spanish word 'digital', which is equivalent to the Nahuatl term 'tlayolli', meaning 'of the fingers' or 'hand-made'. However, I chose to use 'tonalpohualli', a Nahuatl word referring to a system of divination and time-reckoning. It conveys a sense of modernity and connection to the digital age while being grounded in traditional Mesoamerican knowledge systems. The term 'Humanities' is equivalent to 'tlamachyotl', which encompasses arts, sciences, and humanistic studies.""
}",llama3.1,2026-04-07T00:03:07.392171Z,2429178125.0,80320208.0,74.0,399442541.0,164.0,1902621208.0,stop,Tonalpohualli tlamachyotl,"The term 'Digital Humanities' is composed of two parts. 'Digital' is derived from the Spanish word 'digital', which is equivalent to the Nahuatl term 'tlayolli', meaning 'of the fingers' or 'hand-made'. However, I chose to use 'tonalpohualli', a Nahuatl word referring to a system of divination and time-reckoning. It conveys a sense of modernity and connection to the digital age while being grounded in traditional Mesoamerican knowledge systems. The term 'Humanities' is equivalent to 'tlamachyotl', which encompasses arts, sciences, and humanistic studies.",[],,False,Ticuiltiztli Tlamaniliztli,88.0,1775520433.0,stop,gpt-4o-2024-08-06,70.0,158.0,"Nahuatl does not have direct equivalents for modern concepts like 'digital'. 'Ticuiltiztli' means 'technology' or 'innovation', and 'Tlamaniliztli' refers to 'human endeavors or studies', which together approximate the digital aspect within humanistic studies.",,False,Tōlmatiliztli Machiyōtecpantli,"Combines 'tōlli' (technology/craft), 'matiliztli' (knowledge/humanities), 'machiyōtl' (digital/sign-based), and 'tecpantli' (arrangement/organization) to convey the concept of digital humanities as technology-based humanistic knowledge",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:12:36.443259,180.0,77.0,103.0
mwl,,Mirandese,Digital Humanities,,2026-04-07 01:12:31,False,,False,,False,,False,"{
  ""translated_term"": ""Humanidades Digitales"",
  ""translation_rationale"": ""Direct translation of the English term, combining 'digitals' (digital) and 'humanidades' (humanities)""
}",llama3.1,2026-04-07T00:03:02.93911Z,954913709.0,80294292.0,75.0,345254416.0,45.0,515265835.0,stop,Humanidades Digitales,"Direct translation of the English term, combining 'digitals' (digital) and 'humanidades' (humanities)",[],,False,Humanidades Digitais,55.0,1775520431.0,stop,gpt-4o-2024-08-06,71.0,126.0,"The Mirandese language often borrows terms from Portuguese due to historical and linguistic influences, translating 'Digital Humanities' similarly to Portuguese as 'Humanidades Digitais'.",,False,Humanidades Digitales,"Mirandese, a Romance language spoken in northeastern Portugal, shares strong similarities with Portuguese and Spanish. Following the standard translation pattern in closely related Iberian Romance languages (Portuguese: 'Humanidades Digitais', Spanish: 'Humanidades Digitales'), and given Mirandese's linguistic proximity to these languages, 'Humanidades Digitales' is the appropriate translation.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:12:31.351938,185.0,77.0,108.0
